stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
87929,87929,EL PASO IN FRONT OF 5403,,29.42457,-98.566267,,,,,,0
86849,86849,EL PASO & S.W. 34TH,,29.424748,-98.56805,,,,,,0
96247,96247,SW 34TH OPP MASCASA,,29.423349,-98.56845,,,,,,0
96537,96537,SW 34TH & LANCE,,29.422122,-98.568624,,,,,,0
96937,96937,SW 34TH & ELDRIDGE,,29.420001,-98.568858,,,,,,0
95869,95869,ELDRIDGE OPP SW 35TH,,29.420054,-98.570981,,,,,,0
95819,95819,ELDRIDGE & SW 36TH,,29.420259,-98.573165,,,,,,0
88749,88749,NORTHWEST PARKWAY & SILICON,,29.553941,-98.592856,,,,,,0
88743,88743,NORTHWEST PARKWAY & SILICON,,29.553897,-98.592505,,,,,,0
11599,11599,EVERS BETWEEN TEALEAF & GRASS VAL,,29.503321,-98.616639,,,,,,0
13246,13246,BRAZOS & GUADALUPE,S Brazos St & Guadalupe St,29.418152,-98.514311,,,,,,0
13247,13247,BRAZOS & GUADALUPE,,29.418518,-98.514428,,,,,,0
15256,15256,SAN PEDRO IN FRONT OF 16318,San Pedro Ave & Unnamed,29.590835,-98.47328,,,,,,0
16689,16689,GILLETTE & PLEASANTON RD.,,29.330296,-98.502079,,,,,,0
16776,16776,CARY GRANT & MERKENS,Cary Grant Dr & Merkens Dr,29.501946,-98.598982,,,,,,0
16789,16789,MERKENS & CARY GRANT,,29.502043,-98.598775,,,,,,0
18933,18933,CASTROVILLE & MADRID,Castroville Rd & Madrid Ave,29.414744,-98.56173,,,,,,0
19256,19256,MCCULLOUGH & OBLATE,,29.504214,-98.491686,,,,,,0
21113,21113,BANDERA & WOODLAWN,Bandera Rd & Embassy Dr,29.45698,-98.554679,,,,,,0
21756,21756,WURZBACH & VANCE JACKSON,,29.54022,-98.552835,,,,,,0
22346,22346,HENDERSON PASS & THOUSAND OAKS,Henderson Pass & Thousand Oaks Dr,29.585495,-98.451673,,,,,,0
22377,22377,FREDERICKSBURG RD. & HUEBNER,,29.541647,-98.580678,,,,,,0
